,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability,Extraversion,Openness,Conscientiousness,Openness
49,2,20,4,-0.5943,85,164,0,1381,47,47,0,8,71,16,0,1465,5,15,8,0,0,61,0,0,0,48,541,0,13,20,0,29.45882353,30.98110935,0,483.5460818,59.39564696,41.8865741,0,0,5.391839829,8.832320826,0,56.32893953,6,42.11986635,0,0,0,78.42858036,0,0,0,856.1743951,252.8130818,0,19.38290274,150.486955,0,0,1,1,0,1
50,2,20,4,0.5569,138,112,4,168,10,95,0,6,9,83,0,760,10,16,29,0,0,0,0,43,2,0,118,0,4,170,0,56.46376812,26.94899302,75,80.0165811,55.99020774,22.48954924,0,0,5.222657663,20.70847923,0,41.80246707,15.66666667,73.44011959,32.75009379,0,0,0,0,43.43108617,27,0,119.4487708,0,0,102.9920781,0,1,0,1,1,1
51,1,20,4,0.6562,67,209,0,0,30,1363,0,75,80,967,0,1488,60,59,310,0,0,35,88,124,0,0,604,0,2,66,0,0,13.44967709,0,0,125.3503561,30.46372362,0,116.7118623,5.317411075,4.125052769,0,37.41987728,35.78842255,71.00422369,10.7261177,0,0,28.55209508,85.18086748,54.66403597,0,0,70.18367702,0,0,111.2286219,0,0,0,1,0,1
52,1,36,3,-0.2902,169,236,0,1055,34,121,6,6,15,23,8,378,2,33,101,0,0,22,0,7,0,0,234,0,2,671,0,119.6863905,13.65632417,0,184.1713451,115.4249041,23.12507077,40.22013759,0,3.621259183,21.39061239,43.91010023,24.73022399,0,42.51007946,8.105576026,0,0,16.97203361,0,70.33331935,0,0,91.6206954,0,0,68.83830905,0,1,0,0,0,0
53,1,18,4,1.4896,76,1725,8,635,95,1178,26,30,1292,51,39,862,153,162,223,0,356,39,0,27,0,0,755,0,123,334,1,117.9473684,2.066491538,37.33334541,8.428931016,9.538364335,13.421554,2.872503014,51.72002429,3.534347088,19.10891631,54.63763671,8.591625919,31.96217454,29.08239166,21.49358221,0,109.7731205,22.02349704,0,33.1505251,0,0,32.34728115,0,4.169088089,37.44293571,397,0,0,0,0,0
54,2,24,5,0.7257,276,192,9,83,33,206,0,13,56,54,0,1349,5,20,31,0,0,0,73,60,1,0,250,2,3,284,0,44.82246377,13.07624702,43.85005973,423.8535041,122.0791456,19.81681315,0,55.39511882,5.193358755,34.41087976,0,34.79303496,4,63.75785674,31.61371032,0,0,0,146.603153,67.31322978,8,0,110.2987926,50,2,138.3588771,0,1,1,1,1,1
55,1,25,5,1.1163,305,347,0,47,33,52,0,130,21,173,0,2128,52,74,23,0,23,18,7,55,0,0,239,0,4,4,0,228.1606557,27.3119551,0,202,207.9771428,12.03689176,0,136.3542589,2.633831088,18.71810859,0,22.38773224,19.12587729,64.31930081,4.392009571,0,7.520007736,176.0464792,96.75,40.42959162,0,0,88.28547188,0,0,0,0,1,1,1,0,1
56,1,27,5,0.4087,618,1397,20,22,221,853,13,230,1100,180,3,2733,38,127,279,0,7,23,45,12,2,67,1067,11,99,255,0,91.45469256,9.555894231,46.73848231,126.6162114,9.765227954,13.94041939,10.4760266,53.06306362,5.019853076,6.368620898,20.95005569,13.62429205,36.77329511,63.11027402,12.22343817,0,5.485018258,14.9657506,39.9114419,27.43407826,131,15.47434518,52.32875844,42.96574922,15.92155358,26.51113534,0,0,0,1,0,1
57,2,26,4,0.6243,113,227,12,10,93,332,0,80,37,296,5,1848,57,132,68,2,49,21,165,128,0,0,400,40,66,12,0,19.16814159,29.31556468,63.44444444,897.4444444,165.0247607,30.08939912,0,106.6480401,5.852808177,22.88166326,44.91010023,44.60897006,50.86576218,69.24430794,17.84650042,4,83.36984404,61.23893289,28.81750795,44.11879962,0,0,91.3301266,24.98701879,35.64563897,123.6,0,0,1,0,1,0
58,2,30,4,0.4939,96,303,0,447,32,232,0,30,16,154,15,1843,0,33,9,0,0,0,55,0,0,5,382,6,19,776,0,4.0625,13.84350809,0,356.4911851,61.03919445,28.41402921,0,10.95505012,3.331535753,17.460053,50.18181818,27.77813924,0,46.4747372,1,0,0,0,70.87319401,0,0,2,90.78980158,9,63.02752122,66.82189018,0,1,1,1,1,1
59,1,23,4,-0.3345,62,68,0,0,13,45,0,0,729,56,0,653,4,13,150,0,0,0,0,17,0,0,27,6,3,141,0,38.88709677,16.69507981,0,0,59.5645531,19.82615302,0,0,8.22876124,34.04869912,0,37.28746033,0,44.21010701,35.47648931,0,0,0,0,52.75,0,0,33.38537012,0,2,70.28571949,0,1,1,1,1,1
